place,title,time,pay,date
경기 용인시,농협 하나로클럽 용인점,시간협의,"시급8,720",5시간전
서울 강북구,농협 하나로마트 미아점,09:00~17:00,"시급10,000",01/31
경기 수원시,하나로마트 수원금곡점,10:00~19:00,"시급8,720",01/31
경기 수원시,하나로마트 수원금곡점,09:00~18:00,"시급8,720",01/31
