place,title,time,pay,date
인천 전체,(주)러쉬코리아,10:00~21:30,"시급10,790",18시간전
경기 부천시,(주)러쉬코리아,시간협의,"시급10,790",01/31
서울 노원구,롯데 노원점 러쉬,10:00~18:00,"시급10,790",01/29
대전 전체,(주)러쉬코리아,09:30~08:30,"시급10,790",01/19
